game_id,game_date,season,platform,streaming,broadcast
portland-thorns-vs-washington-spirit-2019-10-12,10/12/2019,2019,,,
utah-royals-vs-houston-dash-2019-10-12,10/12/2019,2019,,,
orlando-pride-vs-reign-2019-10-12,10/12/2019,2019,,,
north-carolina-courage-vs-sky-blue-2019-10-12,10/12/2019,2019,,,
reign-vs-portland-thorns-2019-09-29,9/29/2019,2019,,,
sky-blue-vs-orlando-pride-2019-09-29,9/29/2019,2019,,,
chicago-red-stars-vs-utah-royals-2019-09-28,9/28/2019,2019,,,
washington-spirit-vs-north-carolina-courage-2019-09-28,9/28/2019,2019,,,
houston-dash-vs-washington-spirit-2019-09-25,9/25/2019,2019,,,
portland-thorns-vs-houston-dash-2019-09-21,9/21/2019,2019,,,
reign-vs-sky-blue-2019-09-21,9/21/2019,2019,,,
utah-royals-vs-north-carolina-courage-2019-09-21,9/21/2019,2019,,,
chicago-red-stars-vs-washington-spirit-2019-09-21,9/21/2019,2019,,,
reign-vs-utah-royals-2019-09-25,9/25/2019,2019,,,
sky-blue-vs-chicago-red-stars-2019-09-15,9/15/2019,2019,,,
washington-spirit-vs-reign-2019-09-14,9/14/2019,2019,,,
north-carolina-courage-vs-orlando-pride-2019-09-14,9/14/2019,2019,,,
houston-dash-vs-utah-royals-2019-09-13,9/13/2019,2019,,,
portland-thorns-vs-north-carolina-courage-2019-09-11,9/11/2019,2019,,,
orlando-pride-vs-chicago-red-stars-2019-09-11,9/11/2019,2019,,,
chicago-red-stars-vs-houston-dash-2019-09-08,9/8/2019,2019,,,
reign-vs-orlando-pride-2019-09-07,9/7/2019,2019,,,
sky-blue-vs-north-carolina-courage-2019-09-07,9/7/2019,2019,,,
utah-royals-vs-portland-thorns-2019-09-06,9/6/2019,2019,,,
orlando-pride-vs-washington-spirit-2019-10-05,10/5/2019,2019,,,
portland-thorns-vs-chicago-red-stars-2019-08-25,8/25/2019,2019,,,
houston-dash-vs-sky-blue-2019-08-24,8/24/2019,2019,,,
washington-spirit-vs-orlando-pride-2019-08-24,8/24/2019,2019,,,
north-carolina-courage-vs-reign-2019-08-24,8/24/2019,2019,,,
washington-spirit-vs-utah-royals-2019-08-21,8/21/2019,2019,,,
chicago-red-stars-vs-orlando-pride-2019-08-21,8/21/2019,2019,,,
sky-blue-vs-reign-2019-08-18,8/18/2019,2019,,,
portland-thorns-vs-washington-spirit-2019-08-17,8/17/2019,2019,,,
orlando-pride-vs-utah-royals-2019-08-17,8/17/2019,2019,,,
sky-blue-vs-chicago-red-stars-2019-08-14,8/14/2019,2019,,,
reign-vs-utah-royals-2019-08-11,8/11/2019,2019,,,
portland-thorns-vs-north-carolina-courage-2019-08-11,8/11/2019,2019,,,
orlando-pride-vs-houston-dash-2019-08-10,8/10/2019,2019,,,
washington-spirit-vs-chicago-red-stars-2019-08-10,8/10/2019,2019,,,
utah-royals-vs-sky-blue-2019-08-07,8/7/2019,2019,,,
reign-vs-portland-thorns-2019-08-07,8/7/2019,2019,,,
portland-thorns-vs-sky-blue-2019-08-03,8/3/2019,2019,,,
chicago-red-stars-vs-utah-royals-2019-08-03,8/3/2019,2019,,,
north-carolina-courage-vs-washington-spirit-2019-08-03,8/3/2019,2019,,,
houston-dash-vs-reign-2019-08-02,8/2/2019,2019,,,
houston-dash-vs-sky-blue-2019-07-28,7/28/2019,2019,,,
reign-vs-chicago-red-stars-2019-07-28,7/28/2019,2019,,,
utah-royals-vs-north-carolina-courage-2019-07-27,7/27/2019,2019,,,
portland-thorns-vs-houston-dash-2019-07-24,7/24/2019,2019,,,
sky-blue-vs-washington-spirit-2019-07-24,7/24/2019,2019,,,
chicago-red-stars-vs-north-carolina-courage-2019-07-21,7/21/2019,2019,,,
orlando-pride-vs-sky-blue-2019-07-20,7/20/2019,2019,,,
